Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_usd,employee_residence,remote_ratio,company_location,company_size,salary_category
91,2021,Junior,Full-time,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,Medium
92,2021,Mid,Full-time,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Low
93,2021,Senior,Full-time,Lead Data Engineer,276000,USD,276000,US,0,US,L,High
94,2021,Junior,Full-time,Data Scientist,2200000,INR,29751,IN,50,IN,L,Low
95,2021,Mid,Full-time,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,Medium
96,2021,Junior,Part-time,AI Scientist,12000,USD,12000,BR,100,US,S,Low
97,2021,Mid,Full-time,Financial Data Analyst,450000,USD,450000,US,100,US,L,High
98,2021,Junior,Full-time,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Medium
99,2021,Mid,Full-time,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Medium
100,2021,Mid,Full-time,Data Analyst,75000,USD,75000,US,0,US,L,Medium
101,2021,Senior,Full-time,Data Engineer,150000,USD,150000,US,100,US,L,High
102,2021,Mid,Full-time,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Low
103,2021,Mid,Full-time,Data Analyst,62000,USD,62000,US,0,US,L,Medium
104,2021,Mid,Full-time,Data Scientist,73000,USD,73000,US,0,US,L,Medium
105,2021,Mid,Full-time,Data Analyst,37456,GBP,51519,GB,50,GB,L,Medium
106,2021,Mid,Full-time,Research Scientist,235000,CAD,187442,CA,100,CA,L,High
107,2021,Senior,Full-time,Data Engineer,115000,USD,115000,US,100,US,S,High
108,2021,Senior,Full-time,Data Engineer,150000,USD,150000,US,100,US,M,High
109,2021,Junior,Full-time,Data Engineer,2250000,INR,30428,IN,100,IN,L,Low
110,2021,Senior,Full-time,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,Medium
111,2021,Senior,Full-time,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,High
112,2021,Senior,Full-time,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,High
113,2021,Junior,Part-time,AI Scientist,12000,USD,12000,PK,100,US,M,Low
114,2021,Mid,Full-time,Data Engineer,38400,EUR,45391,NL,100,NL,L,Low
115,2021,Junior,Full-time,Machine Learning Scientist,225000,USD,225000,US,100,US,L,High
116,2021,Mid,Full-time,Data Scientist,50000,USD,50000,NG,100,NG,L,Medium
117,2021,Mid,Full-time,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,Low
118,2021,Junior,Full-time,Data Analyst,90000,USD,90000,US,100,US,S,Medium
119,2021,Mid,Full-time,Data Engineer,200000,USD,200000,US,100,US,L,High
120,2021,Mid,Full-time,Big Data Engineer,60000,USD,60000,ES,50,RO,M,Medium
121,2021,Senior,Full-time,Principal Data Engineer,200000,USD,200000,US,100,US,M,High
122,2021,Junior,Full-time,Data Analyst,50000,USD,50000,US,100,US,M,Medium
123,2021,Junior,Full-time,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,High
124,2021,Junior,Part-time,Data Analyst,8760,EUR,10354,ES,50,ES,M,Low
125,2021,Mid,Full-time,Principal Data Scientist,151000,USD,151000,US,100,US,L,High
126,2021,Senior,Full-time,Machine Learning Scientist,120000,USD,120000,US,50,US,S,High
127,2021,Mid,Full-time,Data Scientist,700000,INR,9466,IN,0,IN,S,Low
128,2021,Junior,Full-time,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,Low
129,2021,Senior,Full-time,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,Low
130,2021,Junior,Full-time,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,High
131,2021,Junior,Full-time,Data Scientist,42000,EUR,49646,FR,50,FR,M,Low
132,2021,Mid,Full-time,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,Low
133,2021,Senior,Full-time,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,Low
134,2021,Junior,Full-time,Data Scientist,100000,USD,100000,US,0,US,S,High
135,2021,Mid,Full-time,Data Analyst,90000,USD,90000,US,100,US,M,Medium
136,2021,Mid,Full-time,ML Engineer,7000000,JPY,63711,JP,50,JP,S,Medium
137,2021,Mid,Full-time,ML Engineer,8500000,JPY,77364,JP,50,JP,S,Medium
138,2021,Senior,Full-time,Principal Data Scientist,220000,USD,220000,US,0,US,L,High
139,2021,Junior,Full-time,Data Scientist,80000,USD,80000,US,100,US,M,Medium
140,2021,Mid,Full-time,Data Analyst,135000,USD,135000,US,100,US,L,High
141,2021,Senior,Full-time,Data Science Manager,240000,USD,240000,US,0,US,L,High
142,2021,Senior,Full-time,Data Engineering Manager,150000,USD,150000,US,0,US,L,High
143,2021,Mid,Full-time,Data Scientist,82500,USD,82500,US,100,US,S,Medium
144,2021,Mid,Full-time,Data Engineer,100000,USD,100000,US,100,US,L,High
145,2021,Senior,Full-time,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,Medium
146,2021,Mid,Full-time,Research Scientist,53000,EUR,62649,FR,50,FR,M,Medium
147,2021,Mid,Full-time,Data Engineer,90000,USD,90000,US,100,US,L,Medium
148,2021,Senior,Full-time,Data Engineering Manager,153000,USD,153000,US,100,US,L,High
149,2021,Senior,Full-time,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,High
150,2021,Senior,Full-time,Director of Data Science,168000,USD,168000,JP,0,JP,S,High
151,2021,Mid,Full-time,Data Scientist,150000,USD,150000,US,100,US,M,High
152,2021,Mid,Full-time,Data Scientist,95000,CAD,75774,CA,100,CA,L,Medium
153,2021,Junior,Full-time,Data Scientist,13400,USD,13400,UA,100,UA,L,Low
154,2021,Senior,Full-time,Data Science Manager,144000,USD,144000,US,100,US,L,High
155,2021,Senior,Full-time,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,High
156,2021,Mid,Full-time,Data Scientist,160000,SGD,119059,SG,100,IL,M,High
157,2021,Mid,Full-time,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,High
158,2021,Senior,Full-time,Data Analytics Manager,120000,USD,120000,US,100,US,M,High
159,2021,Junior,Full-time,Machine Learning Engineer,125000,USD,125000,US,100,US,S,High
160,2021,Executive,Full-time,Head of Data,230000,USD,230000,RU,50,RU,L,High
161,2021,Executive,Full-time,Head of Data Science,85000,USD,85000,RU,0,RU,M,Medium
162,2021,Mid,Full-time,Data Engineer,24000,EUR,28369,MT,50,MT,L,Low
163,2021,Junior,Full-time,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,Medium
164,2021,Executive,Full-time,Director of Data Science,110000,EUR,130026,DE,50,DE,M,High
165,2021,Senior,Full-time,Data Specialist,165000,USD,165000,US,100,US,L,High
166,2021,Junior,Full-time,Data Engineer,80000,USD,80000,US,100,US,L,Medium
167,2021,Executive,Full-time,Director of Data Science,250000,USD,250000,US,0,US,L,High
168,2021,Junior,Full-time,BI Data Analyst,55000,USD,55000,US,50,US,S,Medium
169,2021,Mid,Full-time,Data Architect,150000,USD,150000,US,100,US,L,High
170,2021,Mid,Full-time,Data Architect,170000,USD,170000,US,100,US,L,High
171,2021,Mid,Full-time,Data Engineer,60000,GBP,82528,GB,100,GB,L,Medium
172,2021,Junior,Full-time,Data Analyst,60000,USD,60000,US,100,US,S,Medium
173,2021,Senior,Full-time,Principal Data Scientist,235000,USD,235000,US,100,US,L,High
174,2021,Senior,Full-time,Research Scientist,51400,EUR,60757,PT,50,PT,L,Medium
175,2021,Senior,Full-time,Data Engineering Manager,174000,USD,174000,US,100,US,L,High
176,2021,Mid,Full-time,Data Scientist,58000,MXN,2859,MX,0,MX,S,Low
177,2021,Mid,Full-time,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Low
178,2021,Junior,Full-time,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Medium
179,2021,Mid,Full-time,Data Scientist,420000,INR,5679,IN,100,US,S,Low
180,2021,Mid,Full-time,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,Low
181,2021,Mid,Full-time,Data Scientist,76760,EUR,90734,DE,50,DE,L,Medium
182,2021,Mid,Full-time,Data Engineer,22000,EUR,26005,RO,0,US,L,Low
183,2021,Senior,Full-time,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Medium
184,2021,Mid,Freelance,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,Low
185,2021,Mid,Full-time,Data Engineer,4000,USD,4000,IR,100,IR,M,Low
186,2021,Senior,Full-time,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Medium
187,2021,Executive,Full-time,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,Medium
188,2021,Senior,Full-time,Data Engineer,65000,EUR,76833,RO,50,GB,S,Medium
189,2021,Mid,Full-time,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,Medium
190,2021,Senior,Full-time,Data Science Manager,152000,USD,152000,US,100,FR,L,High
191,2021,Junior,Full-time,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Low
192,2021,Mid,Full-time,Big Data Engineer,18000,USD,18000,MD,0,MD,S,Low
193,2021,Senior,Full-time,Data Science Manager,174000,USD,174000,US,100,US,L,High
194,2021,Senior,Full-time,Research Scientist,120500,CAD,96113,CA,50,CA,L,Medium
195,2021,Mid,Full-time,Data Scientist,147000,USD,147000,US,50,US,L,High
196,2021,Junior,Full-time,BI Data Analyst,9272,USD,9272,KE,100,KE,S,Low
197,2021,Senior,Full-time,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,Low
198,2021,Senior,Full-time,Data Science Manager,4000000,INR,54094,IN,50,US,L,Medium
199,2021,Junior,Full-time,Data Science Consultant,90000,USD,90000,US,100,US,S,Medium
200,2021,Mid,Full-time,Data Scientist,52000,EUR,61467,DE,50,AT,M,Medium
201,2021,Senior,Full-time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,High
202,2021,Mid,Full-time,Data Scientist,32000,EUR,37825,ES,100,ES,L,Low
203,2021,Senior,Full-time,Research Scientist,50000,USD,50000,FR,100,US,S,Medium
204,2021,Mid,Full-time,Data Scientist,160000,USD,160000,US,100,US,L,High
205,2021,Mid,Full-time,Data Scientist,69600,BRL,12901,BR,0,BR,S,Low
206,2021,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,US,100,US,L,High
207,2021,Senior,Full-time,Data Engineer,165000,USD,165000,US,0,US,M,High
208,2021,Mid,Freelance,Data Engineer,20000,USD,20000,IT,0,US,L,Low
209,2021,Senior,Full-time,Data Analytics Manager,120000,USD,120000,US,0,US,L,High
210,2021,Mid,Full-time,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L,Low
211,2021,Mid,Full-time,Research Scientist,48000,EUR,56738,FR,50,FR,S,Medium
212,2021,Mid,Full-time,Data Engineer,48000,GBP,66022,HK,50,GB,S,Medium
213,2021,Junior,Full-time,Big Data Engineer,435000,INR,5882,IN,0,CH,L,Low
214,2021,Junior,Full-time,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M,Low
215,2021,Senior,Full-time,Principal Data Engineer,185000,USD,185000,US,100,US,L,High
216,2021,Junior,Part-time,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S,Low
217,2021,Mid,Full-time,Data Scientist,76760,EUR,90734,DE,50,DE,L,Medium
218,2021,Mid,Full-time,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M,Medium
219,2021,Senior,Full-time,Data Analytics Manager,140000,USD,140000,US,100,US,L,High
220,2021,Mid,Full-time,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L,Low
221,2021,Mid,Full-time,Data Scientist,85000,GBP,116914,GB,50,GB,L,High
222,2021,Mid,Full-time,Data Scientist,2500000,INR,33808,IN,0,IN,M,Low
223,2021,Mid,Full-time,Data Scientist,40900,GBP,56256,GB,50,GB,L,Medium
224,2021,Senior,Full-time,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,High
225,2021,Executive,Contract,Principal Data Scientist,416000,USD,416000,US,100,US,S,High
226,2021,Senior,Full-time,Data Scientist,110000,CAD,87738,CA,100,CA,S,Medium
227,2021,Mid,Full-time,Data Scientist,75000,EUR,88654,DE,50,DE,L,Medium
228,2021,Senior,Full-time,Data Scientist,135000,USD,135000,US,0,US,L,High
229,2021,Senior,Full-time,Data Analyst,90000,CAD,71786,CA,100,CA,M,Medium
230,2021,Junior,Full-time,Big Data Engineer,1200000,INR,16228,IN,100,IN,L,Low
231,2021,Senior,Full-time,ML Engineer,256000,USD,256000,US,100,US,S,High
232,2021,Senior,Full-time,Director of Data Engineering,200000,USD,200000,US,100,US,L,High
233,2021,Senior,Full-time,Data Analyst,200000,USD,200000,US,100,US,L,High
234,2021,Mid,Full-time,Data Architect,180000,USD,180000,US,100,US,L,High
235,2021,Mid,Full-time,Head of Data Science,110000,USD,110000,US,0,US,S,High
236,2021,Mid,Full-time,Research Scientist,80000,CAD,63810,CA,100,CA,M,Medium
237,2021,Mid,Full-time,Data Scientist,39600,EUR,46809,ES,100,ES,M,Low
238,2021,Junior,Full-time,Data Scientist,4000,USD,4000,VN,0,VN,M,Low
239,2021,Junior,Full-time,Data Engineer,1600000,INR,21637,IN,50,IN,M,Low
240,2021,Senior,Full-time,Data Scientist,130000,CAD,103691,CA,100,CA,L,High
241,2021,Mid,Full-time,Data Analyst,80000,USD,80000,US,100,US,L,Medium
242,2021,Mid,Full-time,Data Engineer,110000,USD,110000,US,100,US,L,High
243,2021,Senior,Full-time,Data Scientist,165000,USD,165000,US,100,US,L,High
244,2021,Junior,Full-time,AI Scientist,1335000,INR,18053,IN,100,AS,S,Low
245,2021,Mid,Full-time,Data Engineer,52500,GBP,72212,GB,50,GB,L,Medium
246,2021,Junior,Full-time,Data Scientist,31000,EUR,36643,FR,50,FR,L,Low
247,2021,Mid,Full-time,Data Engineer,108000,TRY,12103,TR,0,TR,M,Low
248,2021,Senior,Full-time,Data Engineer,70000,GBP,96282,GB,50,GB,L,Medium
249,2021,Senior,Full-time,Principal Data Analyst,170000,USD,170000,US,100,US,M,High
250,2021,Mid,Full-time,Data Scientist,115000,USD,115000,US,50,US,L,High
251,2021,Junior,Full-time,Data Scientist,90000,USD,90000,US,100,US,S,Medium
252,2021,Executive,Full-time,Principal Data Engineer,600000,USD,600000,US,100,US,L,High
253,2021,Junior,Full-time,Data Scientist,2100000,INR,28399,IN,100,IN,M,Low
254,2021,Mid,Full-time,Data Analyst,93000,USD,93000,US,100,US,L,Medium
255,2021,Senior,Full-time,Big Data Architect,125000,CAD,99703,CA,50,CA,M,Medium
256,2021,Mid,Full-time,Data Engineer,200000,USD,200000,US,100,US,L,High
257,2021,Senior,Full-time,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M,High
258,2021,Senior,Full-time,Machine Learning Engineer,185000,USD,185000,US,50,US,L,High
259,2021,Executive,Full-time,Director of Data Science,120000,EUR,141846,DE,0,DE,L,High
260,2021,Mid,Full-time,Data Scientist,130000,USD,130000,US,50,US,L,High
261,2021,Senior,Full-time,Data Analyst,54000,EUR,63831,DE,50,DE,L,Medium
262,2021,Mid,Full-time,Data Scientist,1250000,INR,16904,IN,100,IN,S,Low
263,2021,Senior,Full-time,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L,Medium
264,2021,Mid,Full-time,Data Scientist,21600,EUR,25532,RS,100,DE,S,Low
265,2021,Senior,Full-time,Lead Data Engineer,160000,USD,160000,PR,50,US,S,High
266,2021,Mid,Full-time,Data Engineer,93150,USD,93150,US,0,US,M,Medium
267,2021,Mid,Full-time,Data Engineer,111775,USD,111775,US,0,US,M,High
268,2021,Mid,Full-time,Data Engineer,250000,TRY,28016,TR,100,TR,M,Low
269,2021,Junior,Full-time,Data Engineer,55000,EUR,65013,DE,50,DE,M,Medium
270,2021,Junior,Full-time,Data Engineer,72500,USD,72500,US,100,US,L,Medium
271,2021,Senior,Full-time,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M,Low
272,2021,Junior,Full-time,Data Science Consultant,65000,EUR,76833,DE,0,DE,L,Medium
273,2021,Junior,Full-time,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S,Medium
274,2021,Senior,Full-time,Data Scientist,65720,EUR,77684,FR,50,FR,M,Medium
275,2021,Junior,Full-time,Data Scientist,100000,USD,100000,US,100,US,M,High
276,2021,Junior,Full-time,Data Scientist,58000,USD,58000,US,50,US,L,Medium
277,2021,Senior,Full-time,AI Scientist,55000,USD,55000,ES,100,ES,L,Medium
278,2021,Senior,Full-time,Data Scientist,180000,TRY,20171,TR,50,TR,L,Low
279,2021,Junior,Full-time,Business Data Analyst,50000,EUR,59102,LU,100,LU,L,Medium
280,2021,Mid,Full-time,Data Engineer,112000,USD,112000,US,100,US,L,High
281,2021,Junior,Full-time,Research Scientist,100000,USD,100000,JE,0,CN,L,High
282,2021,Mid,Part-time,Data Engineer,59000,EUR,69741,NL,100,NL,L,Medium
283,2021,Senior,Contract,Staff Data Scientist,105000,USD,105000,US,100,US,M,High
284,2021,Mid,Full-time,Research Scientist,69999,USD,69999,CZ,50,CZ,L,Medium
285,2021,Senior,Full-time,Data Science Manager,7000000,INR,94665,IN,50,IN,L,Medium
286,2021,Senior,Full-time,Head of Data,87000,EUR,102839,SI,100,SI,L,High
287,2021,Mid,Full-time,Data Scientist,109000,USD,109000,US,50,US,L,High
288,2021,Mid,Full-time,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L,Medium
289,2022,Senior,Full-time,Data Engineer,135000,USD,135000,US,100,US,M,High
290,2022,Senior,Full-time,Data Analyst,155000,USD,155000,US,100,US,M,High
291,2022,Senior,Full-time,Data Analyst,120600,USD,120600,US,100,US,M,High
292,2022,Mid,Full-time,Data Scientist,130000,USD,130000,US,0,US,M,High
293,2022,Mid,Full-time,Data Scientist,90000,USD,90000,US,0,US,M,Medium
294,2022,Mid,Full-time,Data Engineer,170000,USD,170000,US,100,US,M,High
295,2022,Mid,Full-time,Data Engineer,150000,USD,150000,US,100,US,M,High
296,2022,Senior,Full-time,Data Analyst,102100,USD,102100,US,100,US,M,High
297,2022,Senior,Full-time,Data Analyst,84900,USD,84900,US,100,US,M,Medium
298,2022,Senior,Full-time,Data Scientist,136620,USD,136620,US,100,US,M,High
299,2022,Senior,Full-time,Data Scientist,99360,USD,99360,US,100,US,M,Medium
300,2022,Senior,Full-time,Data Scientist,90000,GBP,117789,GB,0,GB,M,High
301,2022,Senior,Full-time,Data Scientist,80000,GBP,104702,GB,0,GB,M,High
302,2022,Senior,Full-time,Data Scientist,146000,USD,146000,US,100,US,M,High
303,2022,Senior,Full-time,Data Scientist,123000,USD,123000,US,100,US,M,High
304,2022,Junior,Full-time,Data Engineer,40000,GBP,52351,GB,100,GB,M,Medium
305,2022,Senior,Full-time,Data Analyst,99000,USD,99000,US,0,US,M,Medium
306,2022,Senior,Full-time,Data Analyst,116000,USD,116000,US,0,US,M,High
307,2022,Mid,Full-time,Data Analyst,106260,USD,106260,US,0,US,M,High
308,2022,Mid,Full-time,Data Analyst,126500,USD,126500,US,0,US,M,High
309,2022,Executive,Full-time,Data Engineer,242000,USD,242000,US,100,US,M,High
310,2022,Executive,Full-time,Data Engineer,200000,USD,200000,US,100,US,M,High
311,2022,Mid,Full-time,Data Scientist,50000,GBP,65438,GB,0,GB,M,Medium
312,2022,Mid,Full-time,Data Scientist,30000,GBP,39263,GB,0,GB,M,Low
313,2022,Mid,Full-time,Data Engineer,60000,GBP,78526,GB,0,GB,M,Medium
314,2022,Mid,Full-time,Data Engineer,40000,GBP,52351,GB,0,GB,M,Medium
315,2022,Senior,Full-time,Data Scientist,165220,USD,165220,US,100,US,M,High
316,2022,Junior,Full-time,Data Engineer,35000,GBP,45807,GB,100,GB,M,Low
