,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_usd,employee_residence,remote_ratio,company_location,company_size,salary_category,job_category,continent,salary_usd_ppp
66,2025,Mid,Full-time,Machine Learning Engineer,140000,USD,140000,US,100,US,M,High,ML/AI Engineer,North America,140000.0
67,2025,Mid,Full-time,Machine Learning Engineer,117000,USD,117000,US,100,US,M,High,ML/AI Engineer,North America,117000.0
72,2025,Senior,Full-time,Machine Learning Engineer,153738,USD,153738,US,0,US,M,High,ML/AI Engineer,North America,153738.0
73,2025,Senior,Full-time,Machine Learning Engineer,107617,USD,107617,US,0,US,M,High,ML/AI Engineer,North America,107617.0
74,2025,Senior,Full-time,Data Scientist,235400,USD,235400,US,0,US,M,High,Data Scientist,North America,235400.0
75,2025,Senior,Full-time,Data Scientist,213146,USD,213146,US,0,US,M,High,Data Scientist,North America,213146.0
76,2025,Senior,Full-time,Data Scientist,166000,USD,166000,CA,100,CA,M,High,Data Scientist,North America,198927.67734155353
77,2025,Senior,Full-time,Data Scientist,103000,USD,103000,CA,100,CA,M,High,Data Scientist,North America,123431.0287119278
78,2025,Senior,Full-time,Data Scientist,217000,USD,217000,US,100,US,M,High,Data Scientist,North America,217000.0
79,2025,Senior,Full-time,Data Scientist,127000,USD,127000,US,100,US,M,High,Data Scientist,North America,127000.0
80,2025,Senior,Full-time,Data Scientist,335720,USD,335720,US,100,US,M,High,Data Scientist,North America,335720.0
81,2025,Senior,Full-time,Data Scientist,163064,USD,163064,US,100,US,M,High,Data Scientist,North America,163064.0
82,2025,Senior,Full-time,Data Scientist,110000,USD,110000,US,0,US,M,High,Data Scientist,North America,110000.0
83,2025,Senior,Full-time,Data Scientist,85000,USD,85000,US,0,US,M,Medium,Data Scientist,North America,85000.0
84,2025,Mid,Full-time,Data Scientist,75000,USD,75000,US,0,US,M,Medium,Data Scientist,North America,75000.0
85,2025,Mid,Full-time,Data Scientist,65250,USD,65250,US,0,US,M,Medium,Data Scientist,North America,65250.0
86,2025,Senior,Full-time,Data Scientist,120000,USD,120000,US,0,US,M,High,Data Scientist,North America,120000.0
87,2025,Senior,Full-time,Data Scientist,100000,USD,100000,US,0,US,M,High,Data Scientist,North America,100000.0
88,2025,Mid,Full-time,Data Scientist,142000,USD,142000,US,0,US,M,High,Data Scientist,North America,142000.0
89,2025,Mid,Full-time,Data Scientist,99336,USD,99336,US,0,US,M,Medium,Data Scientist,North America,99336.0
90,2025,Senior,Full-time,Data Scientist,115350,USD,115350,US,0,US,M,High,Data Scientist,North America,115350.0
91,2025,Senior,Full-time,Data Scientist,88300,USD,88300,US,0,US,M,Medium,Data Scientist,North America,88300.0
92,2025,Mid,Full-time,Data Scientist,166700,USD,166700,US,0,US,M,High,Data Scientist,North America,166700.0
93,2025,Mid,Full-time,Data Scientist,101100,USD,101100,US,0,US,M,High,Data Scientist,North America,101100.0
94,2025,Mid,Full-time,Data Analyst,136800,USD,136800,US,0,US,M,High,Data Analyst,North America,136800.0
95,2025,Mid,Full-time,Data Analyst,79500,USD,79500,US,0,US,M,Medium,Data Analyst,North America,79500.0
98,2025,Mid,Full-time,Research Scientist,112003,USD,112003,US,0,US,M,High,Research Scientist,North America,112003.0
99,2025,Mid,Full-time,Research Scientist,81456,USD,81456,US,0,US,M,Medium,Research Scientist,North America,81456.0
100,2025,Senior,Full-time,AI Engineer,239000,USD,239000,US,0,US,M,High,ML/AI Engineer,North America,239000.0
101,2025,Senior,Full-time,AI Engineer,196000,USD,196000,US,0,US,M,High,ML/AI Engineer,North America,196000.0
102,2025,Senior,Full-time,AI Engineer,266000,USD,266000,US,0,US,M,High,ML/AI Engineer,North America,266000.0
103,2025,Senior,Full-time,AI Engineer,218000,USD,218000,US,0,US,M,High,ML/AI Engineer,North America,218000.0
104,2025,Senior,Full-time,AI Engineer,212000,USD,212000,US,0,US,M,High,ML/AI Engineer,North America,212000.0
105,2025,Senior,Full-time,AI Engineer,174000,USD,174000,US,0,US,M,High,ML/AI Engineer,North America,174000.0
108,2025,Senior,Full-time,Data Analyst,119681,USD,119681,US,0,US,M,High,Data Analyst,North America,119681.0
109,2025,Senior,Full-time,Data Analyst,72534,USD,72534,US,0,US,M,Medium,Data Analyst,North America,72534.0
110,2025,Senior,Full-time,Data Analyst,218500,USD,218500,US,0,US,M,High,Data Analyst,North America,218500.0
111,2025,Senior,Full-time,Data Analyst,105000,USD,105000,US,0,US,M,High,Data Analyst,North America,105000.0
112,2025,Mid,Full-time,Data Analyst,162800,USD,162800,US,0,US,M,High,Data Analyst,North America,162800.0
113,2025,Mid,Full-time,Data Analyst,97700,USD,97700,US,0,US,M,Medium,Data Analyst,North America,97700.0
114,2025,Mid,Full-time,Data Analyst,162800,USD,162800,US,0,US,M,High,Data Analyst,North America,162800.0
115,2025,Mid,Full-time,Data Analyst,97700,USD,97700,US,0,US,M,Medium,Data Analyst,North America,97700.0
116,2025,Mid,Full-time,Data Analyst,62000,USD,62000,US,0,US,M,Medium,Data Analyst,North America,62000.0
117,2025,Mid,Full-time,Data Analyst,44000,USD,44000,US,0,US,M,Low,Data Analyst,North America,44000.0
120,2025,Mid,Full-time,Data Analyst,115500,USD,115500,US,0,US,M,High,Data Analyst,North America,115500.0
121,2025,Mid,Full-time,Data Analyst,98175,USD,98175,US,0,US,M,Medium,Data Analyst,North America,98175.0
122,2025,Senior,Full-time,Data Analyst,232000,USD,232000,US,0,US,M,High,Data Analyst,North America,232000.0
123,2025,Senior,Full-time,Data Analyst,129000,USD,129000,US,0,US,M,High,Data Analyst,North America,129000.0
126,2025,Mid,Full-time,Computational Scientist,174200,USD,174200,US,0,US,M,High,Data Scientist,North America,174200.0
127,2025,Mid,Full-time,Computational Scientist,109000,USD,109000,US,0,US,M,High,Data Scientist,North America,109000.0
130,2025,Senior,Full-time,AI Scientist,308000,USD,308000,US,0,US,M,High,Data Scientist,North America,308000.0
131,2025,Senior,Full-time,AI Scientist,224000,USD,224000,US,0,US,M,High,Data Scientist,North America,224000.0
132,2025,Senior,Full-time,AI Scientist,269500,USD,269500,CA,0,CA,M,High,Data Scientist,North America,322957.8858045101
133,2025,Senior,Full-time,AI Scientist,196000,USD,196000,CA,0,CA,M,High,Data Scientist,North America,234878.46240328008
134,2025,Junior,Full-time,DataOps Engineer,73836,EUR,77722,NL,0,NL,M,Medium,Other data role,Europe,92105.53382066666
135,2025,Junior,Full-time,DataOps Engineer,73836,EUR,77722,NL,0,NL,M,Medium,Other data role,Europe,92105.53382066666
136,2025,Mid,Full-time,Prompt Engineer,145400,USD,145400,US,0,US,M,High,Other data role,North America,145400.0
137,2025,Mid,Full-time,Prompt Engineer,81600,USD,81600,US,0,US,M,Medium,Other data role,North America,81600.0
144,2025,Senior,Full-time,Data Governance Engineer,174980,USD,174980,CA,0,CA,M,High,Data Governance/Specialist,North America,209688.94567003034
145,2025,Senior,Full-time,Data Governance Engineer,94220,USD,94220,CA,0,CA,M,Medium,Data Governance/Specialist,North America,112909.4322838625
146,2025,Senior,Full-time,Analytics Engineer,126000,USD,126000,US,0,US,M,High,Analytics/BI,North America,126000.0
147,2025,Senior,Full-time,Analytics Engineer,119000,USD,119000,US,0,US,M,High,Analytics/BI,North America,119000.0
148,2025,Senior,Full-time,Analytics Engineer,300000,USD,300000,US,0,US,M,High,Analytics/BI,North America,300000.0
149,2025,Senior,Full-time,Analytics Engineer,200000,USD,200000,US,0,US,M,High,Analytics/BI,North America,200000.0
150,2025,Senior,Full-time,Analytics Engineer,300000,USD,300000,US,0,US,M,High,Analytics/BI,North America,300000.0
151,2025,Senior,Full-time,Analytics Engineer,200000,USD,200000,US,0,US,M,High,Analytics/BI,North America,200000.0
152,2025,Senior,Full-time,Analytics Engineer,200000,USD,200000,US,0,US,M,High,Analytics/BI,North America,200000.0
153,2025,Senior,Full-time,Analytics Engineer,150000,USD,150000,US,0,US,M,High,Analytics/BI,North America,150000.0
174,2025,Mid,Full-time,Research Scientist,244000,USD,244000,US,0,US,M,High,Research Scientist,North America,244000.0
175,2025,Mid,Full-time,Research Scientist,166000,USD,166000,US,0,US,M,High,Research Scientist,North America,166000.0
260,2025,Mid,Full-time,Data Engineer,90900,EUR,95684,NL,0,NL,M,Medium,Data Engineer,Europe,113391.65098809435
261,2025,Mid,Full-time,Data Engineer,60456,EUR,63637,NL,0,NL,M,Medium,Data Engineer,Europe,75413.9092630885
262,2025,Senior,Full-time,AI Engineer,222750,USD,222750,US,0,US,M,High,ML/AI Engineer,North America,222750.0
263,2025,Senior,Full-time,AI Engineer,148500,USD,148500,US,0,US,M,High,ML/AI Engineer,North America,148500.0
264,2025,Senior,Full-time,AI Engineer,149600,USD,149600,US,0,US,M,High,ML/AI Engineer,North America,149600.0
265,2025,Senior,Full-time,AI Engineer,108800,USD,108800,US,0,US,M,High,ML/AI Engineer,North America,108800.0
266,2025,Mid,Full-time,Data Reporting Specialist,90280,USD,90280,US,0,US,M,Medium,Data Governance/Specialist,North America,90280.0
267,2025,Mid,Full-time,Data Reporting Specialist,55520,USD,55520,US,0,US,M,Medium,Data Governance/Specialist,North America,55520.0
268,2025,Mid,Full-time,Business Intelligence Engineer,132700,USD,132700,US,100,US,M,High,Analytics/BI,North America,132700.0
269,2025,Mid,Full-time,Business Intelligence Engineer,73800,USD,73800,US,100,US,M,Medium,Analytics/BI,North America,73800.0
270,2025,Mid,Full-time,BI Developer,93570,USD,93570,US,100,US,M,Medium,Analytics/BI,North America,93570.0
271,2025,Mid,Full-time,BI Developer,61000,USD,61000,US,100,US,M,Medium,Analytics/BI,North America,61000.0
274,2025,Mid,Full-time,Data Manager,67000,GBP,84810,GB,0,GB,M,Medium,Data Leadership,Europe,95123.09446133512
275,2025,Mid,Full-time,Data Manager,54000,GBP,68354,GB,0,GB,M,Medium,Data Leadership,Europe,76666.0063531435
276,2025,Senior,Full-time,Machine Learning Scientist,274000,USD,274000,US,0,US,M,High,Research Scientist,North America,274000.0
277,2025,Senior,Full-time,Machine Learning Scientist,147600,USD,147600,US,0,US,M,High,Research Scientist,North America,147600.0
278,2025,Senior,Full-time,Data Governance,140000,USD,140000,US,0,US,M,High,Data Governance/Specialist,North America,140000.0
279,2025,Senior,Full-time,Data Governance,70000,USD,70000,US,0,US,M,Medium,Data Governance/Specialist,North America,70000.0
280,2025,Senior,Full-time,Data Scientist,156800,USD,156800,US,100,US,M,High,Data Scientist,North America,156800.0
281,2025,Senior,Full-time,Data Scientist,114000,USD,114000,US,100,US,M,High,Data Scientist,North America,114000.0
282,2025,Senior,Full-time,Applied Scientist,342045,USD,342045,US,0,US,M,High,Research Scientist,North America,342045.0
283,2025,Senior,Full-time,Applied Scientist,201203,USD,201203,US,0,US,M,High,Research Scientist,North America,201203.0
284,2025,Junior,Full-time,Data Architect,95000,USD,95000,US,100,US,M,Medium,Data Architect,North America,95000.0
285,2025,Junior,Full-time,Data Architect,85000,USD,85000,US,100,US,M,Medium,Data Architect,North America,85000.0
288,2025,Mid,Full-time,Data Specialist,68000,USD,68000,US,0,US,M,Medium,Data Governance/Specialist,North America,68000.0
289,2025,Mid,Full-time,Data Specialist,54000,USD,54000,US,0,US,M,Medium,Data Governance/Specialist,North America,54000.0
312,2025,Senior,Full-time,Business Intelligence Analyst,183800,USD,183800,US,100,US,M,High,Analytics/BI,North America,183800.0
313,2025,Senior,Full-time,Business Intelligence Analyst,110300,USD,110300,US,100,US,M,High,Analytics/BI,North America,110300.0
320,2025,Mid,Full-time,Data Engineer,223500,USD,223500,US,0,US,M,High,Data Engineer,North America,223500.0
321,2025,Mid,Full-time,Data Engineer,119200,USD,119200,US,0,US,M,High,Data Engineer,North America,119200.0
322,2025,Senior,Full-time,Data Engineer,228200,USD,228200,US,100,US,M,High,Data Engineer,North America,228200.0
323,2025,Senior,Full-time,Data Engineer,91300,USD,91300,US,100,US,M,Medium,Data Engineer,North America,91300.0
324,2025,Senior,Full-time,Data Engineer,230180,USD,230180,US,0,US,M,High,Data Engineer,North America,230180.0
325,2025,Senior,Full-time,Data Engineer,164415,USD,164415,US,0,US,M,High,Data Engineer,North America,164415.0
326,2025,Mid,Full-time,Data Engineer,231250,USD,231250,US,0,US,M,High,Data Engineer,North America,231250.0
327,2025,Mid,Full-time,Data Engineer,111000,USD,111000,US,0,US,M,High,Data Engineer,North America,111000.0
328,2025,Mid,Full-time,Data Engineer,140200,USD,140200,US,0,US,M,High,Data Engineer,North America,140200.0
329,2025,Mid,Full-time,Data Engineer,104600,USD,104600,US,0,US,M,High,Data Engineer,North America,104600.0
330,2025,Senior,Full-time,Data Scientist,195700,USD,195700,US,100,US,M,High,Data Scientist,North America,195700.0
331,2025,Senior,Full-time,Data Scientist,142300,USD,142300,US,100,US,M,High,Data Scientist,North America,142300.0
332,2025,Senior,Full-time,Data Scientist,186600,USD,186600,CA,100,CA,M,High,Data Scientist,North America,223613.8830839391
333,2025,Senior,Full-time,Data Scientist,124400,USD,124400,CA,100,CA,M,High,Data Scientist,North America,149075.92205595938
334,2025,Senior,Full-time,Data Scientist,191869,USD,191869,US,0,US,M,High,Data Scientist,North America,191869.0
335,2025,Senior,Full-time,Data Scientist,125629,USD,125629,US,0,US,M,High,Data Scientist,North America,125629.0
340,2025,Mid,Full-time,Data Specialist,103576,USD,103576,US,100,US,M,High,Data Governance/Specialist,North America,103576.0
341,2025,Mid,Full-time,Data Specialist,60927,USD,60927,US,100,US,M,Medium,Data Governance/Specialist,North America,60927.0
342,2025,Senior,Full-time,Data Architect,166810,USD,166810,US,100,US,M,High,Data Architect,North America,166810.0
343,2025,Senior,Full-time,Data Architect,98124,USD,98124,US,100,US,M,Medium,Data Architect,North America,98124.0
348,2025,Senior,Full-time,Data Analyst,164000,USD,164000,US,0,US,M,High,Data Analyst,North America,164000.0
349,2025,Senior,Full-time,Data Analyst,82000,USD,82000,US,0,US,M,Medium,Data Analyst,North America,82000.0
350,2025,Mid,Full-time,Applied Scientist,214000,USD,214000,US,100,US,M,High,Research Scientist,North America,214000.0
351,2025,Mid,Full-time,Applied Scientist,134000,USD,134000,US,100,US,M,High,Research Scientist,North America,134000.0
360,2025,Senior,Full-time,Data Scientist,161700,USD,161700,US,100,US,M,High,Data Scientist,North America,161700.0
361,2025,Senior,Full-time,Data Scientist,117600,USD,117600,US,100,US,M,High,Data Scientist,North America,117600.0
382,2025,Senior,Full-time,Research Scientist,220000,USD,220000,CA,100,CA,M,High,Research Scientist,North America,263639.0904526613
383,2025,Senior,Full-time,Research Scientist,159750,USD,159750,CA,100,CA,M,High,Research Scientist,North America,191437.93045369384
386,2025,Senior,Full-time,Analytics Engineer,152109,USD,152109,US,100,US,M,High,Analytics/BI,North America,152109.0
387,2025,Senior,Full-time,Analytics Engineer,103711,USD,103711,US,100,US,M,High,Analytics/BI,North America,103711.0
388,2025,Senior,Full-time,Data Strategist,175700,USD,175700,US,100,US,M,High,Other data role,North America,175700.0
389,2025,Senior,Full-time,Data Strategist,106900,USD,106900,US,100,US,M,High,Other data role,North America,106900.0
390,2025,Senior,Full-time,Cloud Database Administrator,243100,USD,243100,US,0,US,M,High,Other data role,North America,243100.0
391,2025,Senior,Full-time,Cloud Database Administrator,126300,USD,126300,US,0,US,M,High,Other data role,North America,126300.0
394,2025,Mid,Full-time,Data Product Manager,139700,USD,139700,US,0,US,M,High,Data Leadership,North America,139700.0
395,2025,Mid,Full-time,Data Product Manager,106000,USD,106000,US,0,US,M,High,Data Leadership,North America,106000.0
400,2025,Mid,Full-time,Data Scientist,127000,USD,127000,US,0,US,M,High,Data Scientist,North America,127000.0
401,2025,Mid,Full-time,Data Scientist,127000,USD,127000,US,0,US,M,High,Data Scientist,North America,127000.0
402,2025,Executive,Full-time,Data Scientist,175000,USD,175000,US,0,US,M,High,Data Scientist,North America,175000.0
403,2025,Executive,Full-time,Data Scientist,145000,USD,145000,US,0,US,M,High,Data Scientist,North America,145000.0
404,2025,Senior,Full-time,Data Scientist,220500,USD,220500,US,0,US,M,High,Data Scientist,North America,220500.0
405,2025,Senior,Full-time,Data Scientist,196000,USD,196000,US,0,US,M,High,Data Scientist,North America,196000.0
406,2025,Mid,Full-time,Data Scientist,150000,USD,150000,US,100,US,M,High,Data Scientist,North America,150000.0
407,2025,Mid,Full-time,Data Scientist,130000,USD,130000,US,100,US,M,High,Data Scientist,North America,130000.0
408,2025,Senior,Full-time,Data Scientist,225030,USD,225030,US,0,US,M,High,Data Scientist,North America,225030.0
409,2025,Senior,Full-time,Data Scientist,171680,USD,171680,US,0,US,M,High,Data Scientist,North America,171680.0
412,2025,Senior,Full-time,Data Scientist,225000,USD,225000,US,0,US,M,High,Data Scientist,North America,225000.0
413,2025,Senior,Full-time,Data Scientist,99000,USD,99000,US,0,US,M,Medium,Data Scientist,North America,99000.0
414,2025,Senior,Full-time,Data Scientist,257000,USD,257000,US,0,US,M,High,Data Scientist,North America,257000.0
415,2025,Senior,Full-time,Data Scientist,112800,USD,112800,US,0,US,M,High,Data Scientist,North America,112800.0
416,2025,Senior,Full-time,Data Scientist,340500,USD,340500,US,0,US,M,High,Data Scientist,North America,340500.0
417,2025,Senior,Full-time,Data Scientist,148000,USD,148000,US,0,US,M,High,Data Scientist,North America,148000.0
418,2025,Mid,Full-time,Data Scientist,148700,USD,148700,US,0,US,M,High,Data Scientist,North America,148700.0
419,2025,Mid,Full-time,Data Scientist,122740,USD,122740,US,0,US,M,High,Data Scientist,North America,122740.0
424,2025,Senior,Full-time,Data Engineer,180000,USD,180000,US,100,US,M,High,Data Engineer,North America,180000.0
425,2025,Senior,Full-time,Data Engineer,90000,USD,90000,US,100,US,M,Medium,Data Engineer,North America,90000.0
426,2025,Senior,Full-time,Data Engineer,106400,GBP,134683,GB,0,GB,M,High,Data Engineer,Europe,151060.76796764528
427,2025,Senior,Full-time,Data Engineer,90440,GBP,114481,GB,0,GB,M,High,Data Engineer,Europe,128402.15749355154
428,2025,Mid,Full-time,Data Engineer,205600,USD,205600,US,0,US,L,High,Data Engineer,North America,205600.0
429,2025,Mid,Full-time,Data Engineer,118900,USD,118900,US,0,US,L,High,Data Engineer,North America,118900.0
430,2025,Senior,Full-time,Data Engineer,176000,USD,176000,DE,0,DE,M,High,Data Engineer,Europe,219377.83958288486
431,2025,Senior,Full-time,Data Engineer,77500,USD,77500,DE,0,DE,M,Medium,Data Engineer,Europe,96601.03731632714
432,2025,Senior,Full-time,Data Engineer,176000,USD,176000,GB,0,GB,M,High,Data Engineer,Europe,197402.0118523167
433,2025,Senior,Full-time,Data Engineer,77500,USD,77500,GB,0,GB,M,Medium,Data Engineer,Europe,86924.18135542356
434,2025,Senior,Full-time,Data Engineer,180000,USD,180000,US,0,US,M,High,Data Engineer,North America,180000.0
435,2025,Senior,Full-time,Data Engineer,90000,USD,90000,US,0,US,M,Medium,Data Engineer,North America,90000.0
436,2025,Mid,Full-time,Data Engineer,130000,USD,130000,US,0,US,M,High,Data Engineer,North America,130000.0
437,2025,Mid,Full-time,Data Engineer,110000,USD,110000,US,0,US,M,High,Data Engineer,North America,110000.0
438,2025,Senior,Full-time,Applied Scientist,272174,USD,272174,US,0,US,M,High,Research Scientist,North America,272174.0
439,2025,Senior,Full-time,Applied Scientist,180870,USD,180870,US,0,US,M,High,Research Scientist,North America,180870.0
446,2025,Senior,Full-time,Machine Learning Engineer,255000,USD,255000,US,0,US,M,High,ML/AI Engineer,North America,255000.0
447,2025,Senior,Full-time,Machine Learning Engineer,204000,USD,204000,US,0,US,M,High,ML/AI Engineer,North America,204000.0
450,2025,Mid,Full-time,Machine Learning Engineer,292000,USD,292000,US,0,US,M,High,ML/AI Engineer,North America,292000.0
451,2025,Mid,Full-time,Machine Learning Engineer,128700,USD,128700,US,0,US,M,High,ML/AI Engineer,North America,128700.0
452,2025,Senior,Full-time,Machine Learning Engineer,301200,USD,301200,US,0,US,M,High,ML/AI Engineer,North America,301200.0
453,2025,Senior,Full-time,Machine Learning Engineer,162000,USD,162000,US,0,US,M,High,ML/AI Engineer,North America,162000.0
454,2025,Mid,Full-time,Data Management Analyst,100000,USD,100000,US,100,US,M,High,Data Governance/Specialist,North America,100000.0
455,2025,Mid,Full-time,Data Management Analyst,75000,USD,75000,US,100,US,M,Medium,Data Governance/Specialist,North America,75000.0
458,2025,Executive,Full-time,Data Management,180000,USD,180000,US,0,US,M,High,Data Governance/Specialist,North America,180000.0
459,2025,Executive,Full-time,Data Management,90000,USD,90000,US,0,US,M,Medium,Data Governance/Specialist,North America,90000.0
466,2025,Junior,Full-time,AI Engineer,70000,USD,70000,US,100,US,M,Medium,ML/AI Engineer,North America,70000.0
467,2025,Junior,Full-time,AI Engineer,60000,USD,60000,US,100,US,M,Medium,ML/AI Engineer,North America,60000.0
468,2025,Mid,Full-time,Business Intelligence Engineer,91100,USD,91100,US,100,US,M,Medium,Analytics/BI,North America,91100.0
469,2025,Mid,Full-time,Business Intelligence Engineer,66800,USD,66800,US,100,US,M,Medium,Analytics/BI,North America,66800.0
470,2025,Senior,Full-time,Data Analyst,120000,USD,120000,US,0,US,M,High,Data Analyst,North America,120000.0
471,2025,Senior,Full-time,Data Analyst,85000,USD,85000,US,0,US,M,Medium,Data Analyst,North America,85000.0
474,2025,Mid,Full-time,Data Analyst,126000,USD,126000,US,0,US,M,High,Data Analyst,North America,126000.0
475,2025,Mid,Full-time,Data Analyst,55300,USD,55300,US,0,US,M,Medium,Data Analyst,North America,55300.0
476,2025,Senior,Full-time,Data Analyst,116706,USD,116706,US,0,US,M,High,Data Analyst,North America,116706.0
477,2025,Senior,Full-time,Data Analyst,70024,USD,70024,US,0,US,M,Medium,Data Analyst,North America,70024.0
478,2025,Mid,Full-time,Data Analyst,86767,USD,86767,US,0,US,M,Medium,Data Analyst,North America,86767.0
479,2025,Mid,Full-time,Data Analyst,60297,USD,60297,US,0,US,M,Medium,Data Analyst,North America,60297.0
492,2025,Senior,Full-time,Principal Scientist,222000,USD,222000,US,0,US,M,High,Data Scientist,North America,222000.0
493,2025,Senior,Full-time,Principal Scientist,140000,USD,140000,US,0,US,M,High,Data Scientist,North America,140000.0
496,2025,Mid,Full-time,BI Developer,130000,USD,130000,US,0,US,M,High,Analytics/BI,North America,130000.0
497,2025,Mid,Full-time,BI Developer,90000,USD,90000,US,0,US,M,Medium,Analytics/BI,North America,90000.0
